warehouse_id,warehouse_name,region,cluster,current_inventory,monthly_demand,monthly_supply,demand_to_supply_ratio,predicted_risk,risk_probability,safety_stock,inventory_gap,recommended_action,recommended_quantity,priority,explainable_reason
WH-01,Hub North-Central — Delhi/NCR,North,Cluster 0 — Balanced Operational Flow,113632,116303,122536,0.95,Overstock,0.851,17415,-13428,Throttle Inbound Replenishment & Initiate Lateral Transfer Out,-13450,High,"High overstock risk (p=85.1%): DSR=0.95 < 1.0, excess stock of 13,450 units locks working capital. Initiate lateral transfers to deficit regional depots."
WH-02,Depot North-A — Noida Hub,North,Cluster 1 — High-Velocity Shortage Risk,1299,54276,40471,1.34,Understock / Shortage,0.719,29578,70207,Urgent Safety Stock Injection & Expedited Replenishment,70250,Critical,"Critical shortage risk (p=71.9%): DSR=1.34, inventory (1,299) has breached safety stock (29,579) with 8 recent stockout incidents. Expedite inbound supplier delivery."
WH-03,Depot North-B — Gurgaon Metro,North,Cluster 0 — Balanced Operational Flow,19485,17927,18738,0.96,Overstock,0.945,2988,-10640,Throttle Inbound Replenishment & Initiate Lateral Transfer Out,-10650,High,"High overstock risk (p=94.5%): DSR=0.96 < 1.0, excess stock of 10,650 units locks working capital. Initiate lateral transfers to deficit regional depots."
WH-04,Facility North-1 — Chandigarh Gateway,North,Cluster 0 — Balanced Operational Flow,56472,40389,40472,1.0,Overstock,0.886,5128,-33701,Throttle Inbound Replenishment & Initiate Lateral Transfer Out,-33750,High,"High overstock risk (p=88.6%): DSR=1.00 < 1.0, excess stock of 33,750 units locks working capital. Initiate lateral transfers to deficit regional depots."
WH-05,Depot North-2 — Ludhiana Express,North,Cluster 1 — High-Velocity Shortage Risk,93,20071,10974,1.83,Understock / Shortage,0.895,11545,23512,Urgent Safety Stock Injection & Expedited Replenishment,23550,Critical,"Critical shortage risk (p=89.5%): DSR=1.83, inventory (94) has breached safety stock (11,545) with 4 recent stockout incidents. Expedite inbound supplier delivery."
WH-06,Hub North-3 — Jaipur Logistics Park,North,Cluster 0 — Balanced Operational Flow,30687,65530,62349,1.05,Overstock,0.739,8173,2105,Reduce Next Purchase Order Allocation,0,Medium,Moderate overstock trend (p=73.9%): Supply pace exceeds demand run-rate. Scale back upcoming monthly replenishment cycle.
WH-07,Depot North-4 — Jodhpur Transit,North,Cluster 0 — Balanced Operational Flow,16382,14587,15176,0.96,Overstock,0.762,3177,-9817,Throttle Inbound Replenishment & Initiate Lateral Transfer Out,-9850,High,"High overstock risk (p=76.2%): DSR=0.96 < 1.0, excess stock of 9,850 units locks working capital. Initiate lateral transfers to deficit regional depots."
WH-08,Hub North-5 — Lucknow Central,North,Cluster 2 — Chronic Overstock Buffers,215250,51870,60592,0.86,Overstock,0.936,6875,-180040,Throttle Inbound Replenishment & Initiate Lateral Transfer Out,-180050,High,"High overstock risk (p=93.6%): DSR=0.86 < 1.0, excess stock of 180,050 units locks working capital. Initiate lateral transfers to deficit regional depots."
WH-09,Depot North-6 — Kanpur Freight Center,North,Cluster 0 — Balanced Operational Flow,18578,22184,23595,0.94,Overstock,0.827,3238,-10468,Throttle Inbound Replenishment & Initiate Lateral Transfer Out,-10500,High,"High overstock risk (p=82.7%): DSR=0.94 < 1.0, excess stock of 10,500 units locks working capital. Initiate lateral transfers to deficit regional depots."
WH-10,Depot North-7 — Varanasi Terminal,North,Cluster 1 — High-Velocity Shortage Risk,163,17457,11959,1.46,Understock / Shortage,0.828,4062,10119,Urgent Safety Stock Injection & Expedited Replenishment,10150,Critical,"Critical shortage risk (p=82.8%): DSR=1.46, inventory (164) has breached safety stock (4,063) with 8 recent stockout incidents. Expedite inbound supplier delivery."
WH-11,Facility North-8 — Agra Express,North,Cluster 2 — Chronic Overstock Buffers,111513,21408,25401,0.84,Overstock,0.57,3805,-102236,Throttle Inbound Replenishment & Initiate Lateral Transfer Out,-102250,High,"High overstock risk (p=57.0%): DSR=0.84 < 1.0, excess stock of 102,250 units locks working capital. Initiate lateral transfers to deficit regional depots."
WH-12,Depot North-9 — Dehradun Valley,North,Cluster 2 — Chronic Overstock Buffers,69518,14673,17456,0.84,Overstock,0.663,1708,-64607,Throttle Inbound Replenishment & Initiate Lateral Transfer Out,-64650,High,"High overstock risk (p=66.3%): DSR=0.84 < 1.0, excess stock of 64,650 units locks working capital. Initiate lateral transfers to deficit regional depots."
WH-13,Depot North-10 — Amritsar Border Hub,North,Cluster 0 — Balanced Operational Flow,17824,16736,16702,1.0,Overstock,0.861,3367,-7417,Throttle Inbound Replenishment & Initiate Lateral Transfer Out,-7450,High,"High overstock risk (p=86.1%): DSR=1.00 < 1.0, excess stock of 7,450 units locks working capital. Initiate lateral transfers to deficit regional depots."
WH-14,Facility North-11 — Ghaziabad Depot,North,Cluster 2 — Chronic Overstock Buffers,203233,38579,44001,0.88,Overstock,0.862,5728,-176379,Throttle Inbound Replenishment & Initiate Lateral Transfer Out,-176400,High,"High overstock risk (p=86.2%): DSR=0.88 < 1.0, excess stock of 176,400 units locks working capital. Initiate lateral transfers to deficit regional depots."
WH-15,Hub West-Central — Mumbai Port Mega,West,Cluster 0 — Balanced Operational Flow,87392,124125,124331,1.0,Overstock,0.823,24209,6445,Throttle Inbound Replenishment & Initiate Lateral Transfer Out,0,High,"High overstock risk (p=82.3%): DSR=1.00 < 1.0, excess stock of 0 units locks working capital. Initiate lateral transfers to deficit regional depots."
